2025-08-22 11:55:33,297 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 11:55:33,299 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 11:55:33,300 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 11:55:33,300 | INFO    | scraper.cli          | Workers: 16
2025-08-22 11:55:33,300 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 11:55:33,301 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 11:55:33,301 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 11:55:33,302 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 11:55:33,515 | INFO    | scraper.cli          | Loaded 9 companies from test_input.xlsx
2025-08-22 11:55:33,516 | INFO    | scraper.orchestrator | ▶ Processing company: walter schmidt chemie gmbh
2025-08-22 11:55:33,516 | INFO    | scraper.orchestrator | ▶ Processing company: henan xinlianxin fertilizer 
2025-08-22 11:55:33,520 | INFO    | scraper.orchestrator | ▶ Processing company: mitsui toatsu chemicals 
2025-08-22 11:55:33,520 | INFO    | scraper.orchestrator | ▶ Processing company: bluetec haman
2025-08-22 11:55:33,520 | INFO    | scraper.orchestrator | ▶ Processing company: daf trucks
2025-08-22 11:55:33,521 | INFO    | scraper.orchestrator | ▶ Processing company: petrol rete 
2025-08-22 11:55:33,521 | INFO    | scraper.orchestrator | ▶ Processing company: euro dam jas doo
2025-08-22 11:55:33,521 | INFO    | scraper.orchestrator | ▶ Processing company: Synsol
2025-08-22 11:55:33,522 | INFO    | scraper.orchestrator | ▶ Processing company: speedy fuels
2025-08-22 11:55:34,215 | INFO    | scraper.orchestrator | ✓ Found domain: walter-schmidt-chemie.de (score: 89)
2025-08-22 11:55:34,546 | INFO    | scraper.orchestrator | ✓ Found domain: speedyfuels.co.uk (score: 100)
2025-08-22 11:55:34,590 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: ENCRYPTED_LENGTH_TOO_LONG] encrypted length too long (_ssl.c:2648)
2025-08-22 11:55:34,596 | ERROR   | scraper.google_search | Unexpected error in Google search: IncompleteRead(14 bytes read)
2025-08-22 11:55:34,596 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 11:55:34,597 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 11:55:34,597 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: ENCRYPTED_LENGTH_TOO_LONG] encrypted length too long (_ssl.c:2648)
2025-08-22 11:55:34,597 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 11:55:34,598 | ERROR   | scraper.google_search | Search failed with fallback: IncompleteRead(14 bytes read)
2025-08-22 11:55:34,598 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 11:55:34,598 | WARNING | scraper.orchestrator | No Google search results for: petrol rete 
2025-08-22 11:55:34,598 | WARNING | scraper.orchestrator | No Google search results for: henan xinlianxin fertilizer 
2025-08-22 11:55:34,598 | WARNING | scraper.orchestrator | No Google search results for: bluetec haman
2025-08-22 11:55:34,598 | WARNING | scraper.orchestrator | No Google search results for: mitsui toatsu chemicals 
2025-08-22 11:55:34,879 | INFO    | scraper.orchestrator | ✓ Found domain: synsol.ch (score: 100)
2025-08-22 11:55:34,885 | INFO    | scraper.http         | HTTP GET https://speedyfuels.co.uk → 200
2025-08-22 11:55:34,983 | INFO    | scraper.email_extractor |   0 emails on https://www.speedyfuels.co.uk/ (def from text)
2025-08-22 11:55:35,061 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.speedyfuels.co.uk/
2025-08-22 11:55:35,062 | INFO    | scraper.http         | HTTP GET https://synsol.ch → 200
2025-08-22 11:55:35,100 | INFO    | scraper.email_extractor |   1 emails on https://synsol.ch/ (def from text)
2025-08-22 11:55:35,101 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://synsol.ch/
2025-08-22 11:55:36,015 | INFO    | scraper.http         | HTTP HEAD https://www.synsol.ch/sitemap.xml → 200
2025-08-22 11:55:36,065 | INFO    | scraper.http         | HTTP GET https://www.synsol.ch/sitemap.xml → 200
2025-08-22 11:55:36,065 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://www.synsol.ch/sitemap.xml (0.96s)
2025-08-22 11:55:36,115 | INFO    | scraper.http         | HTTP GET https://synsol.ch/wp-sitemap-posts-page-1.xml → 200
2025-08-22 11:55:36,147 | INFO    | scraper.http         | HTTP GET https://synsol.ch/wp-sitemap-users-1.xml → 200
2025-08-22 11:55:36,174 | INFO    | scraper.http         | HTTP GET https://synsol.ch/urea/ → 200
2025-08-22 11:55:36,201 | INFO    | scraper.email_extractor |   1 emails on https://synsol.ch/urea/ (def from text)
2025-08-22 11:55:36,202 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 on https://synsol.ch/urea/
2025-08-22 11:55:36,225 | INFO    | scraper.http         | HTTP GET https://synsol.ch/privacy-policy-of-synsol-ag/ → 200
2025-08-22 11:55:36,239 | INFO    | scraper.email_extractor |   0 emails on https://synsol.ch/privacy-policy-of-synsol-ag/ (def from text)
2025-08-22 11:55:36,250 | INFO    | scraper.hybrid_email_extractor | Static pass found 0 on https://synsol.ch/privacy-policy-of-synsol-ag/
