2025-08-22 10:53:32,717 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 10:53:32,717 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 10:53:32,717 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 10:53:32,718 | INFO    | scraper.cli          | Workers: 16
2025-08-22 10:53:32,718 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 10:53:32,718 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 10:53:32,718 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 10:53:32,718 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 10:53:32,884 | INFO    | scraper.cli          | Loaded 9 companies from test_input.xlsx
2025-08-22 10:53:32,884 | INFO    | scraper.orchestrator | ▶ Processing company: walter schmidt chemie gmbh
2025-08-22 10:53:32,885 | INFO    | scraper.orchestrator | ▶ Processing company: henan xinlianxin fertilizer 
2025-08-22 10:53:32,887 | INFO    | scraper.orchestrator | ▶ Processing company: mitsui toatsu chemicals 
2025-08-22 10:53:32,888 | INFO    | scraper.orchestrator | ▶ Processing company: bluetec haman
2025-08-22 10:53:32,888 | INFO    | scraper.orchestrator | ▶ Processing company: daf trucks
2025-08-22 10:53:32,888 | INFO    | scraper.orchestrator | ▶ Processing company: petrol rete 
2025-08-22 10:53:32,889 | INFO    | scraper.orchestrator | ▶ Processing company: euro dam jas doo
2025-08-22 10:53:32,889 | INFO    | scraper.orchestrator | ▶ Processing company: Synsol
2025-08-22 10:53:32,890 | INFO    | scraper.orchestrator | ▶ Processing company: speedy fuels
2025-08-22 10:53:33,512 | INFO    | scraper.orchestrator | ✓ Found domain: walter-schmidt-chemie.de (score: 89)
2025-08-22 10:53:33,884 | ERROR   | scraper.google_search | SSL WRONG_VERSION_NUMBER from Google API – likely a proxy/MITM issue. Transport is already proxy-free; check system-wide proxies or antivirus HTTPS inspection.
2025-08-22 10:53:33,885 | ERROR   | scraper.google_search | SSL WRONG_VERSION_NUMBER from Google API – likely a proxy/MITM issue. Transport is already proxy-free; check system-wide proxies or antivirus HTTPS inspection.
2025-08-22 10:53:33,885 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:53:33,886 | ERROR   | scraper.google_search | SSL WRONG_VERSION_NUMBER from Google API – likely a proxy/MITM issue. Transport is already proxy-free; check system-wide proxies or antivirus HTTPS inspection.
