2025-08-22 09:39:33,026 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 09:39:33,026 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 09:39:33,026 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 09:39:33,027 | INFO    | scraper.cli          | Workers: 16
2025-08-22 09:39:33,027 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 09:39:33,027 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 09:39:33,027 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 09:39:33,028 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 09:39:33,270 | INFO    | scraper.cli          | Loaded 9 companies from test_input.xlsx
2025-08-22 09:39:33,271 | INFO    | scraper.orchestrator | ▶ Processing company: walter schmidt chemie gmbh
2025-08-22 09:39:33,276 | INFO    | scraper.orchestrator | ▶ Processing company: henan xinlianxin fertilizer co.
2025-08-22 09:39:33,276 | INFO    | scraper.orchestrator | ▶ Processing company: mitsui toatsu chemicals;  inc.
2025-08-22 09:39:33,277 | INFO    | scraper.orchestrator | ▶ Processing company: bluetec haman co.; ltd.
2025-08-22 09:39:33,277 | INFO    | scraper.orchestrator | ▶ Processing company: daf trucks n.v.
2025-08-22 09:39:33,277 | INFO    | scraper.orchestrator | ▶ Processing company: petrol rete s.r.l.
2025-08-22 09:39:33,278 | INFO    | scraper.orchestrator | ▶ Processing company: euro dam jas doo
2025-08-22 09:39:33,278 | INFO    | scraper.orchestrator | ▶ Processing company: Synsol
2025-08-22 09:39:33,279 | INFO    | scraper.orchestrator | ▶ Processing company: speedy fuels
2025-08-22 09:39:33,996 | INFO    | scraper.orchestrator | ✓ Found domain: walter-schmidt-chemie.de (score: 89)
2025-08-22 09:39:34,276 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: ENCRYPTED_LENGTH_TOO_LONG] encrypted length too long (_ssl.c:2648)
2025-08-22 09:39:34,276 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 09:39:34,276 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 09:39:34,277 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 09:39:34,277 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: ENCRYPTED_LENGTH_TOO_LONG] encrypted length too long (_ssl.c:2648)
2025-08-22 09:39:34,277 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 09:39:34,277 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 09:39:34,277 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 09:39:34,278 | WARNING | scraper.orchestrator | No Google search results for: mitsui toatsu chemicals;  inc.
2025-08-22 09:39:34,278 | WARNING | scraper.orchestrator | No Google search results for: Synsol
2025-08-22 09:39:34,278 | WARNING | scraper.orchestrator | No Google search results for: euro dam jas doo
2025-08-22 09:39:34,278 | WARNING | scraper.orchestrator | No Google search results for: bluetec haman co.; ltd.
2025-08-22 09:39:34,349 | INFO    | scraper.orchestrator | ✓ Found domain: worldfertilizer.com (score: 80)
2025-08-22 09:39:34,576 | INFO    | scraper.http         | HTTP GET https://worldfertilizer.com → 404
2025-08-22 09:39:34,576 | INFO    | scraper.http         | Retrying with www-prefix: https://www.worldfertilizer.com
2025-08-22 09:39:35,516 | INFO    | scraper.email_extractor |   1 emails on https://www.worldfertilizer.com/ (def from text)
2025-08-22 09:39:35,517 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://www.worldfertilizer.com/
