2025-08-22 10:56:07,549 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 10:56:07,550 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 10:56:07,550 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 10:56:07,550 | INFO    | scraper.cli          | Workers: 16
2025-08-22 10:56:07,550 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 10:56:07,551 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 10:56:07,551 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 10:56:07,551 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 10:56:07,720 | INFO    | scraper.cli          | Loaded 9 companies from test_input.xlsx
2025-08-22 10:56:07,721 | INFO    | scraper.orchestrator | ▶ Processing company: walter schmidt chemie gmbh
2025-08-22 10:56:07,721 | INFO    | scraper.orchestrator | ▶ Processing company: henan xinlianxin fertilizer 
2025-08-22 10:56:07,724 | INFO    | scraper.orchestrator | ▶ Processing company: mitsui toatsu chemicals 
2025-08-22 10:56:07,725 | INFO    | scraper.orchestrator | ▶ Processing company: bluetec haman
2025-08-22 10:56:07,725 | INFO    | scraper.orchestrator | ▶ Processing company: daf trucks
2025-08-22 10:56:07,725 | INFO    | scraper.orchestrator | ▶ Processing company: petrol rete 
2025-08-22 10:56:07,726 | INFO    | scraper.orchestrator | ▶ Processing company: euro dam jas doo
2025-08-22 10:56:07,727 | INFO    | scraper.orchestrator | ▶ Processing company: Synsol
2025-08-22 10:56:07,731 | INFO    | scraper.orchestrator | ▶ Processing company: speedy fuels
2025-08-22 10:56:08,393 | INFO    | scraper.orchestrator | ✓ Found domain: walter-schmidt-chemie.de (score: 89)
2025-08-22 10:56:08,707 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,707 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,708 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,708 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,708 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,708 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: ENCRYPTED_LENGTH_TOO_LONG] encrypted length too long (_ssl.c:2648)
2025-08-22 10:56:08,709 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,709 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,709 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:56:08,710 | WARNING | scraper.orchestrator | No Google search results for: speedy fuels
2025-08-22 10:56:08,710 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: ENCRYPTED_LENGTH_TOO_LONG] encrypted length too long (_ssl.c:2648)
2025-08-22 10:56:08,710 | WARNING | scraper.orchestrator | No Google search results for: petrol rete 
2025-08-22 10:56:08,710 | WARNING | scraper.orchestrator | No Google search results for: bluetec haman
2025-08-22 10:56:08,710 | WARNING | scraper.orchestrator | No Google search results for: Synsol
2025-08-22 10:56:08,711 | WARNING | scraper.orchestrator | No Google search results for: daf trucks
2025-08-22 10:56:08,756 | INFO    | scraper.orchestrator | ✓ Found domain: eurodamjas.com (score: 100)
2025-08-22 10:56:09,076 | INFO    | scraper.orchestrator | ✓ Found domain: us.mitsuichemicals.com (score: 88)
2025-08-22 10:56:09,176 | INFO    | scraper.http         | HTTP GET https://eurodamjas.com → 200
2025-08-22 10:56:09,194 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://eurodamjas.com/
