2025-08-22 14:54:10,912 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 14:54:10,913 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 14:54:10,913 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 14:54:10,914 | INFO    | scraper.cli          | Workers: 16
2025-08-22 14:54:10,914 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 14:54:10,914 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 14:54:10,915 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 14:54:10,915 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 14:54:11,196 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 14:54:11,197 | INFO    | scraper.orchestrator | Phase 1: Collecting domains for 8 companies
2025-08-22 14:54:17,007 | INFO    | scraper.orchestrator | Phase 2: Batch probing 8 unique domains
2025-08-22 14:54:17,009 | INFO    | scraper.orchestrator | Batch probing 8 domains for access patterns
2025-08-22 14:54:17,009 | INFO    | scraper.http_client  | Probing domain access methods for: walter-schmidt-chemie.de
2025-08-22 14:54:17,010 | INFO    | scraper.http_client  | Probing domain access methods for: worldfertilizer.com
2025-08-22 14:54:17,010 | INFO    | scraper.http_client  | Probing domain access methods for: us.mitsuichemicals.com
2025-08-22 14:54:17,011 | INFO    | scraper.http_client  | Probing domain access methods for: daf.com
2025-08-22 14:54:17,390 | INFO    | scraper.http_client  | ✓ Found working access method for us.mitsuichemicals.com: https
2025-08-22 14:54:17,391 | INFO    | scraper.http_client  | Probing domain access methods for: bpetrol.it
2025-08-22 14:54:17,567 | INFO    | scraper.http_client  | ✓ Found working access method for daf.com: https
2025-08-22 14:54:17,567 | INFO    | scraper.http_client  | Probing domain access methods for: eurodamjas.com
2025-08-22 14:54:17,821 | INFO    | scraper.http_client  | ✓ Found working access method for bpetrol.it: https
2025-08-22 14:54:17,821 | INFO    | scraper.http_client  | Probing domain access methods for: synsol.ch
2025-08-22 14:54:17,870 | INFO    | scraper.http_client  | ✓ Found working access method for eurodamjas.com: https
2025-08-22 14:54:17,870 | INFO    | scraper.http_client  | Probing domain access methods for: speedyfuels.co.uk
2025-08-22 14:54:18,147 | INFO    | scraper.http_client  | ✓ Found working access method for speedyfuels.co.uk: https
2025-08-22 14:54:18,436 | INFO    | scraper.http_client  | ✓ Found working access method for worldfertilizer.com: https_www
2025-08-22 14:54:18,658 | INFO    | scraper.http_client  | ✓ Found working access method for synsol.ch: https
2025-08-22 14:54:27,571 | INFO    | scraper.http_client  | ✓ Found working access method for walter-schmidt-chemie.de: https
2025-08-22 14:54:27,573 | INFO    | scraper.orchestrator | Phase 3: Processing 8 companies with valid domains
2025-08-22 14:54:27,574 | INFO    | scraper.orchestrator | ✓ Processing domain: walter-schmidt-chemie.de (score: 89) for company: walter schmidt chemie gmbh
2025-08-22 14:54:27,574 | INFO    | scraper.orchestrator | ✓ Processing domain: worldfertilizer.com (score: 80) for company: henan xinlianxin fertilizer 
2025-08-22 14:54:27,575 | ERROR   | scraper.performance_optimizer | Optimized request failed for https://walter-schmidt-chemie.de: Session.request() got multiple values for argument 'method'
2025-08-22 14:54:27,575 | INFO    | scraper.orchestrator | ✓ Processing domain: us.mitsuichemicals.com (score: 88) for company: mitsui toatsu chemicals 
2025-08-22 14:54:27,575 | ERROR   | scraper.performance_optimizer | Optimized request failed for https://www.worldfertilizer.com: Session.request() got multiple values for argument 'method'
2025-08-22 14:54:27,575 | INFO    | scraper.orchestrator | ✓ Processing domain: daf.com (score: 100) for company: daf trucks
2025-08-22 14:54:27,575 | INFO    | scraper.orchestrator | ✓ Processing domain: bpetrol.it (score: 92) for company: petrol rete 
