2025-08-22 14:43:10,577 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 14:43:10,577 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 14:43:10,578 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 14:43:10,578 | INFO    | scraper.cli          | Workers: 16
2025-08-22 14:43:10,578 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 14:43:10,579 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 14:43:10,579 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 14:43:10,580 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 14:43:10,873 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 14:43:10,873 | INFO    | scraper.orchestrator | Phase 1: Collecting domains for 8 companies
2025-08-22 14:43:16,809 | INFO    | scraper.orchestrator | Phase 2: Batch probing 8 unique domains
2025-08-22 14:43:16,809 | INFO    | scraper.orchestrator | Batch probing 8 domains for access patterns
2025-08-22 14:43:16,810 | INFO    | scraper.http_client  | Probing domain access methods for: walter-schmidt-chemie.de
2025-08-22 14:43:16,810 | INFO    | scraper.http_client  | Probing domain access methods for: worldfertilizer.com
2025-08-22 14:43:16,810 | INFO    | scraper.http_client  | Probing domain access methods for: us.mitsuichemicals.com
2025-08-22 14:43:16,811 | INFO    | scraper.http_client  | Probing domain access methods for: daf.com
2025-08-22 14:43:17,175 | INFO    | scraper.http_client  | ✓ Found working access method for us.mitsuichemicals.com: https
2025-08-22 14:43:17,176 | INFO    | scraper.http_client  | Probing domain access methods for: bpetrol.it
2025-08-22 14:43:17,412 | INFO    | scraper.http_client  | ✓ Found working access method for daf.com: https
2025-08-22 14:43:17,413 | INFO    | scraper.http_client  | Probing domain access methods for: eurodamjas.com
2025-08-22 14:43:17,561 | INFO    | scraper.http_client  | ✓ Found working access method for bpetrol.it: https
2025-08-22 14:43:17,562 | INFO    | scraper.http_client  | Probing domain access methods for: synsol.ch
2025-08-22 14:43:17,688 | INFO    | scraper.http_client  | ✓ Found working access method for eurodamjas.com: https
2025-08-22 14:43:17,688 | INFO    | scraper.http_client  | Probing domain access methods for: speedyfuels.co.uk
2025-08-22 14:43:17,932 | INFO    | scraper.http_client  | ✓ Found working access method for synsol.ch: https
2025-08-22 14:43:17,938 | INFO    | scraper.http_client  | ✓ Found working access method for worldfertilizer.com: https_www
2025-08-22 14:43:17,982 | INFO    | scraper.http_client  | ✓ Found working access method for speedyfuels.co.uk: https
2025-08-22 14:43:27,336 | INFO    | scraper.http_client  | ✓ Found working access method for walter-schmidt-chemie.de: https
2025-08-22 14:43:27,338 | INFO    | scraper.orchestrator | Phase 3: Processing 8 companies with valid domains
2025-08-22 14:43:27,339 | INFO    | scraper.orchestrator | ✓ Processing domain: walter-schmidt-chemie.de (score: 89) for company: walter schmidt chemie gmbh
2025-08-22 14:43:27,339 | INFO    | scraper.orchestrator | ✓ Processing domain: worldfertilizer.com (score: 80) for company: henan xinlianxin fertilizer 
2025-08-22 14:43:27,339 | INFO    | scraper.orchestrator | ✓ Processing domain: us.mitsuichemicals.com (score: 88) for company: mitsui toatsu chemicals 
2025-08-22 14:43:27,340 | INFO    | scraper.orchestrator | ✓ Processing domain: daf.com (score: 100) for company: daf trucks
2025-08-22 14:43:27,342 | INFO    | scraper.orchestrator | ✓ Processing domain: bpetrol.it (score: 92) for company: petrol rete 
2025-08-22 14:43:27,344 | INFO    | scraper.orchestrator | ✓ Processing domain: eurodamjas.com (score: 100) for company: euro dam jas doo
2025-08-22 14:43:27,345 | INFO    | scraper.orchestrator | ✓ Processing domain: synsol.ch (score: 100) for company: Synsol
2025-08-22 14:43:27,347 | INFO    | scraper.orchestrator | ✓ Processing domain: speedyfuels.co.uk (score: 100) for company: speedy fuels
2025-08-22 14:43:27,538 | INFO    | scraper.http_client  | HTTP GET https://synsol.ch → 200
2025-08-22 14:43:27,592 | INFO    | scraper.email_extractor |   1 emails on https://synsol.ch/ (def from text)
2025-08-22 14:43:27,593 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://synsol.ch/
2025-08-22 14:43:27,663 | INFO    | scraper.http_client  | HTTP GET https://eurodamjas.com → 200
2025-08-22 14:43:27,683 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://eurodamjas.com/
2025-08-22 14:43:27,719 | INFO    | scraper.http_client  | HTTP GET https://speedyfuels.co.uk → 200
2025-08-22 14:43:27,801 | INFO    | scraper.email_extractor |   0 emails on https://www.speedyfuels.co.uk/ (def from text)
2025-08-22 14:43:27,825 | INFO    | scraper.http_client  | HTTP GET https://us.mitsuichemicals.com → 200
2025-08-22 14:43:27,834 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.speedyfuels.co.uk/
2025-08-22 14:43:27,867 | INFO    | scraper.email_extractor |   0 emails on https://us.mitsuichemicals.com/ (def from text)
2025-08-22 14:43:27,898 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://us.mitsuichemicals.com/
2025-08-22 14:43:27,963 | INFO    | scraper.http_client  | HTTP GET https://daf.com → 200
2025-08-22 14:43:28,063 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/sites-landing (def from text)
2025-08-22 14:43:28,091 | INFO    | scraper.http_client  | HTTP HEAD https://eurodamjas.com/sitemap.xml → 200
2025-08-22 14:43:28,098 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/sites-landing
2025-08-22 14:43:28,108 | INFO    | scraper.http_client  | HTTP HEAD https://synsol.ch/sitemap.xml → 200
2025-08-22 14:43:28,145 | INFO    | scraper.http_client  | HTTP GET https://synsol.ch/sitemap.xml → 200
2025-08-22 14:43:28,145 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://synsol.ch/sitemap.xml (0.55s)
2025-08-22 14:43:28,194 | INFO    | scraper.http_client  | HTTP GET https://synsol.ch/wp-sitemap-posts-page-1.xml → 200
2025-08-22 14:43:28,195 | INFO    | scraper.http_client  | HTTP GET https://www.worldfertilizer.com → 200
2025-08-22 14:43:28,222 | INFO    | scraper.email_extractor |   1 emails on https://www.worldfertilizer.com/ (def from text)
2025-08-22 14:43:28,223 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://www.worldfertilizer.com/
2025-08-22 14:43:28,235 | INFO    | scraper.http_client  | HTTP GET https://synsol.ch/wp-sitemap-users-1.xml → 200
2025-08-22 14:43:28,259 | INFO    | scraper.http_client  | HTTP GET https://synsol.ch/privacy-policy-of-synsol-ag/ → 200
2025-08-22 14:43:28,280 | INFO    | scraper.email_extractor |   0 emails on https://synsol.ch/privacy-policy-of-synsol-ag/ (def from text)
2025-08-22 14:43:28,294 | INFO    | scraper.hybrid_email_extractor | Static pass found 0 on https://synsol.ch/privacy-policy-of-synsol-ag/
2025-08-22 14:43:28,294 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://synsol.ch/privacy-policy-of-synsol-ag/
2025-08-22 14:43:28,323 | INFO    | scraper.http_client  | HTTP HEAD https://www.worldfertilizer.com/sitemap.xml → 200
2025-08-22 14:43:28,406 | INFO    | scraper.http_client  | HTTP GET https://www.worldfertilizer.com/sitemap.xml → 200
2025-08-22 14:43:28,406 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://www.worldfertilizer.com/sitemap.xml (0.18s)
2025-08-22 14:43:28,959 | INFO    | scraper.http_client  | HTTP GET https://www.worldfertilizer.com/sulfur/10022022/itafos-resumes-sulfuric-acid-production-and-sales-at-arraias/ → 200
2025-08-22 14:43:28,988 | INFO    | scraper.email_extractor |   1 emails on https://www.worldfertilizer.com/sulfur/10022022/itafos-resumes-sulfuric-acid-production-and-sales-at-arraias/ (def from text)
2025-08-22 14:43:28,988 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 on https://www.worldfertilizer.com/sulfur/10022022/itafos-resumes-sulfuric-acid-production-and-sales-at-arraias/
2025-08-22 14:43:29,237 | INFO    | scraper.http_client  | HTTP GET https://www.worldfertilizer.com/phosphates/10052023/kropz-plc-provides-update-on-elandsfontein-phosphate-project-sales/ → 200
