2025-08-22 06:43:39,873 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 06:43:39,875 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 06:43:39,876 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 06:43:39,877 | INFO    | scraper.cli          | Workers: 2
2025-08-22 06:43:39,877 | INFO    | scraper.cli          | Domain threshold: 60
2025-08-22 06:43:39,877 | INFO    | scraper.cli          | Max pages: 12
2025-08-22 06:43:39,878 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 06:43:39,878 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 06:43:39,878 | ERROR   | scraper.config       | Configuration errors: GOOGLE_API_KEY is missing, GOOGLE_CX_ID is missing
2025-08-22 06:43:39,878 | ERROR   | scraper.cli          | Configuration error: Configuration errors: GOOGLE_API_KEY is missing, GOOGLE_CX_ID is missing
2025-08-22 06:43:39,879 | ERROR   | scraper.cli          | Environment validation failed
