2025-08-22 11:13:08,938 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 11:13:08,940 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 11:13:08,940 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 11:13:08,941 | INFO    | scraper.cli          | Workers: 16
2025-08-22 11:13:08,941 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 11:13:08,941 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 11:13:08,941 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 11:13:08,941 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 11:13:09,111 | INFO    | scraper.cli          | Loaded 9 companies from test_input.xlsx
2025-08-22 11:13:09,112 | INFO    | scraper.orchestrator | ▶ Processing company: walter schmidt chemie gmbh
2025-08-22 11:13:09,115 | INFO    | scraper.orchestrator | ▶ Processing company: henan xinlianxin fertilizer 
2025-08-22 11:13:09,115 | INFO    | scraper.orchestrator | ▶ Processing company: mitsui toatsu chemicals 
2025-08-22 11:13:09,115 | INFO    | scraper.orchestrator | ▶ Processing company: bluetec haman
2025-08-22 11:13:09,116 | INFO    | scraper.orchestrator | ▶ Processing company: daf trucks
2025-08-22 11:13:09,116 | INFO    | scraper.orchestrator | ▶ Processing company: petrol rete 
2025-08-22 11:13:09,116 | INFO    | scraper.orchestrator | ▶ Processing company: euro dam jas doo
2025-08-22 11:13:09,117 | INFO    | scraper.orchestrator | ▶ Processing company: Synsol
2025-08-22 11:13:09,118 | INFO    | scraper.orchestrator | ▶ Processing company: speedy fuels
2025-08-22 11:13:09,819 | INFO    | scraper.orchestrator | ✓ Found domain: walter-schmidt-chemie.de (score: 89)
2025-08-22 11:13:10,152 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL] internal error (_ssl.c:2648)
2025-08-22 11:13:10,152 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 11:13:10,156 | ERROR   | scraper.google_search | Search failed with fallback: [SSL] internal error (_ssl.c:2648)
