2025-08-22 20:53:47,393 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 20:53:47,393 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 20:53:47,394 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 20:53:47,394 | INFO    | scraper.cli          | Workers: 16
2025-08-22 20:53:47,394 | INFO    | scraper.cli          | Domain threshold: 50
2025-08-22 20:53:47,394 | INFO    | scraper.cli          | Max pages: 50
2025-08-22 20:53:47,394 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 20:53:47,394 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 20:53:47,408 | INFO    | scraper.config       | Updated max workers to 16
2025-08-22 20:53:47,591 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 20:53:47,591 | INFO    | scraper.orchestrator | Reset orchestrator stats and cleared domain tracking cache
2025-08-22 20:53:47,595 | INFO    | scraper.orchestrator | Phase 1: Collecting domains for 8 companies
2025-08-22 20:53:49,604 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:53:51,932 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:53:54,207 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:53:56,567 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:53:58,854 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:54:01,091 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:54:03,297 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:54:05,496 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 20:54:05,775 | INFO    | scraper.orchestrator | Phase 2: Batch probing 8 unique domains
2025-08-22 20:54:05,776 | INFO    | scraper.orchestrator | Batch probing 8 domains for access patterns
2025-08-22 20:54:05,776 | INFO    | scraper.thread_pool_manager | Created optimized thread pool with 16 workers
2025-08-22 20:54:05,776 | INFO    | scraper.thread_pool_manager | Created global thread pool manager with 16 workers
2025-08-22 20:54:05,776 | INFO    | scraper.http_client  | Probing domain access methods for: walter-schmidt-chemie.de
2025-08-22 20:54:05,777 | INFO    | scraper.http_client  | Probing domain access methods for: worldfertilizer.com
2025-08-22 20:54:05,778 | INFO    | scraper.http_client  | Probing domain access methods for: us.mitsuichemicals.com
2025-08-22 20:54:05,779 | INFO    | scraper.http_client  | Probing domain access methods for: daf.com
2025-08-22 20:54:05,782 | INFO    | scraper.http_client  | Probing domain access methods for: bpetrol.it
2025-08-22 20:54:05,783 | INFO    | scraper.http_client  | Probing domain access methods for: eurodamjas.com
2025-08-22 20:54:05,783 | INFO    | scraper.http_client  | Probing domain access methods for: synsol.ch
2025-08-22 20:54:05,784 | INFO    | scraper.http_client  | Probing domain access methods for: speedyfuels.co.uk
2025-08-22 20:54:06,209 | INFO    | scraper.http_client  | ✓ Found working access method for eurodamjas.com: https
2025-08-22 20:54:06,255 | INFO    | scraper.http_client  | ✓ Found working access method for us.mitsuichemicals.com: https
2025-08-22 20:54:06,255 | INFO    | scraper.http_client  | ✓ Found working access method for synsol.ch: https
2025-08-22 20:54:06,273 | INFO    | scraper.http_client  | ✓ Found working access method for daf.com: https
2025-08-22 20:54:06,279 | INFO    | scraper.http_client  | ✓ Found working access method for speedyfuels.co.uk: https
2025-08-22 20:54:06,299 | INFO    | scraper.http_client  | ✓ Found working access method for bpetrol.it: https
2025-08-22 20:54:06,790 | INFO    | scraper.http_client  | ✓ Found working access method for worldfertilizer.com: https_www
2025-08-22 20:54:16,464 | INFO    | scraper.http_client  | ✓ Found working access method for walter-schmidt-chemie.de: https
2025-08-22 20:54:16,464 | INFO    | scraper.orchestrator | Successfully probed 8/8 domains
2025-08-22 20:54:16,465 | INFO    | scraper.orchestrator | Phase 3: Processing 8 companies with valid domains
2025-08-22 20:54:16,465 | INFO    | scraper.orchestrator | Processing 8 companies with 8 concurrent workers
