2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Email scraper starting
2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Workers: 16
2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Domain threshold: 50
2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Max pages: 50
2025-08-23 00:16:05,263 | INFO    | scraper.cli          | Process PDFs: False
2025-08-23 00:16:05,264 | INFO    | scraper.cli          | Save domain only: False
2025-08-23 00:16:05,264 | INFO    | scraper.config       | Updated max workers to 16
2025-08-23 00:16:05,460 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-23 00:16:05,703 | INFO    | scraper.regex_cache  | Precompiling 11 regex patterns
2025-08-23 00:16:05,705 | INFO    | scraper.regex_cache  | Precompiled 11 common email extraction patterns
2025-08-23 00:16:05,895 | INFO    | scraper.google_search | Google API requests session initialized
2025-08-23 00:16:05,895 | INFO    | scraper.async_orchestrator | Starting streaming processing of 8 companies
2025-08-23 00:16:05,896 | INFO    | scraper.async_google_search | Async Google API session initialized (max_concurrent=10)
