2025-08-22 23:30:37,817 | DEBUG   | scraper.output_formatter | Output formatter initialized (verbose=True)
2025-08-22 23:30:37,817 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 23:30:37,817 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 23:30:37,817 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 23:30:37,817 | INFO    | scraper.cli          | Workers: 16
2025-08-22 23:30:37,818 | INFO    | scraper.cli          | Domain threshold: 50
2025-08-22 23:30:37,818 | INFO    | scraper.cli          | Max pages: 50
2025-08-22 23:30:37,831 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 23:30:37,831 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 23:30:37,832 | INFO    | scraper.config       | Updated max workers to 16
2025-08-22 23:30:38,021 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 23:30:38,212 | INFO    | scraper.regex_cache  | Precompiling 11 regex patterns
2025-08-22 23:30:38,213 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: (?i)(?<![A-Z0-9._%+-])[A-Z0-9._%+-]+@(?:[A-Z0-9-]+ (1.018ms)
2025-08-22 23:30:38,213 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'email_basic'
2025-08-22 23:30:38,214 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: mailto: (0.033ms)
2025-08-22 23:30:38,214 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'mailto'
2025-08-22 23:30:38,214 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: 
            (?P<user>[A-Za-z0-9._%+-]+)           (0.551ms)
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'obfuscated_email'
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: noreply@ (0.031ms)
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'noreply'
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: donotreply@ (0.051ms)
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'donotreply'
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: no-reply@ (0.047ms)
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'no_reply'
2025-08-22 23:30:38,215 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: webmaster@ (0.033ms)
2025-08-22 23:30:38,216 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'webmaster'
