2025-08-22 23:43:43,539 | DEBUG   | scraper.output_formatter | Output formatter initialized (verbose=True)
2025-08-22 23:43:43,539 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 23:43:43,539 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 23:43:43,540 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 23:43:43,540 | INFO    | scraper.cli          | Workers: 16
2025-08-22 23:43:43,540 | INFO    | scraper.cli          | Domain threshold: 50
2025-08-22 23:43:43,540 | INFO    | scraper.cli          | Max pages: 50
2025-08-22 23:43:43,540 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 23:43:43,540 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 23:43:43,540 | INFO    | scraper.config       | Updated max workers to 16
2025-08-22 23:43:43,732 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 23:43:43,945 | INFO    | scraper.regex_cache  | Precompiling 11 regex patterns
2025-08-22 23:43:43,946 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: (?i)(?<![A-Z0-9._%+-])[A-Z0-9._%+-]+@(?:[A-Z0-9-]+ (0.696ms)
2025-08-22 23:43:43,947 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'email_basic'
2025-08-22 23:43:43,947 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: mailto: (0.048ms)
2025-08-22 23:43:43,947 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'mailto'
2025-08-22 23:43:43,948 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: 
            (?P<user>[A-Za-z0-9._%+-]+)           (0.589ms)
2025-08-22 23:43:43,948 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'obfuscated_email'
2025-08-22 23:43:43,948 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: noreply@ (0.041ms)
2025-08-22 23:43:43,948 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'noreply'
2025-08-22 23:43:43,948 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: donotreply@ (0.042ms)
2025-08-22 23:43:43,948 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'donotreply'
