2025-08-22 18:03:39,367 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 18:03:39,367 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 18:03:39,367 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 18:03:39,367 | INFO    | scraper.cli          | Workers: 32
2025-08-22 18:03:39,368 | INFO    | scraper.cli          | Domain threshold: 50
2025-08-22 18:03:39,368 | INFO    | scraper.cli          | Max pages: 50
2025-08-22 18:03:39,368 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 18:03:39,368 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 18:03:39,368 | INFO    | scraper.config       | Updated max workers to 32
2025-08-22 18:03:39,631 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 18:03:39,631 | INFO    | scraper.orchestrator | Reset orchestrator stats and cleared domain tracking cache
2025-08-22 18:03:39,631 | INFO    | scraper.orchestrator | Phase 1: Collecting domains for 8 companies
2025-08-22 18:03:41,643 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:43,985 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:46,221 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:48,479 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:50,730 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:52,990 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:55,219 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:57,423 | INFO    | scraper.google_search | Processing batch of 1 unique Google search queries
2025-08-22 18:03:57,625 | INFO    | scraper.orchestrator | Phase 2: Batch probing 8 unique domains
2025-08-22 18:03:57,625 | INFO    | scraper.orchestrator | Batch probing 8 domains for access patterns
2025-08-22 18:03:57,625 | INFO    | scraper.thread_pool_manager | Created optimized thread pool with 32 workers
2025-08-22 18:03:57,625 | INFO    | scraper.thread_pool_manager | Created global thread pool manager with 32 workers
