2025-08-22 22:38:53,067 | DEBUG   | scraper.output_formatter | Output formatter initialized (verbose=True)
2025-08-22 22:38:53,067 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 22:38:53,067 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 22:38:53,068 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 22:38:53,068 | INFO    | scraper.cli          | Workers: 16
2025-08-22 22:38:53,068 | INFO    | scraper.cli          | Domain threshold: 50
2025-08-22 22:38:53,068 | INFO    | scraper.cli          | Max pages: 50
2025-08-22 22:38:53,068 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 22:38:53,068 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 22:38:53,068 | INFO    | scraper.config       | Updated max workers to 16
2025-08-22 22:38:53,248 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-22 22:38:53,516 | DEBUG   | scraper.google_search | Google search cache persistence enabled
2025-08-22 22:38:53,521 | DEBUG   | scraper.http_client  | Created optimized session template with connection pooling
2025-08-22 22:38:53,521 | DEBUG   | scraper.http_client  | Created new session for domain: googleapis.com
2025-08-22 22:38:53,521 | INFO    | scraper.google_search | Google API requests session initialized
2025-08-22 22:38:53,521 | DEBUG   | scraper.google_search | Google search cache persistence enabled
2025-08-22 22:38:53,636 | INFO    | scraper.regex_cache  | Precompiling 11 regex patterns
2025-08-22 22:38:53,637 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: (?i)(?<![A-Z0-9._%+-])[A-Z0-9._%+-]+@(?:[A-Z0-9-]+ (0.783ms)
2025-08-22 22:38:53,637 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'email_basic'
2025-08-22 22:38:53,637 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: mailto: (0.043ms)
2025-08-22 22:38:53,637 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'mailto'
2025-08-22 22:38:53,638 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: 
            (?P<user>[A-Za-z0-9._%+-]+)           (0.589ms)
2025-08-22 22:38:53,638 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'obfuscated_email'
2025-08-22 22:38:53,638 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: noreply@ (0.033ms)
2025-08-22 22:38:53,638 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'noreply'
2025-08-22 22:38:53,638 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: donotreply@ (0.034ms)
2025-08-22 22:38:53,638 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'donotreply'
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: no-reply@ (0.039ms)
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'no_reply'
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: webmaster@ (0.034ms)
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'webmaster'
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: hostmaster@ (0.035ms)
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'hostmaster'
2025-08-22 22:38:53,639 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: postmaster@ (0.033ms)
2025-08-22 22:38:53,640 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'postmaster'
2025-08-22 22:38:53,640 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: \.(?:png|jpe?g|gif)$ (0.063ms)
2025-08-22 22:38:53,640 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'image_extensions'
2025-08-22 22:38:53,640 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: ^[0-9a-f]{20,}$ (0.054ms)
2025-08-22 22:38:53,640 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'hex_local_parts'
2025-08-22 22:38:53,640 | INFO    | scraper.regex_cache  | Precompiled 11 common email extraction patterns
2025-08-22 22:38:53,642 | DEBUG   | asyncio              | Using proactor: IocpProactor
2025-08-22 22:38:53,652 | DEBUG   | scraper.google_search | Google search cache persistence enabled
2025-08-22 22:38:53,654 | INFO    | scraper.async_google_search | Async Google API session initialized (max_concurrent=10)
2025-08-22 22:38:53,654 | INFO    | scraper.async_orchestrator | Starting streaming processing of 8 companies
2025-08-22 22:38:53,655 | DEBUG   | scraper.async_google_search | [TRACE] search_companies_streaming: start with 8 companies
2025-08-22 22:38:53,655 | DEBUG   | scraper.async_google_search | [TRACE] search_companies_streaming: created 8 tasks
2025-08-22 22:38:53,656 | DEBUG   | scraper.async_google_search | [TRACE] search_companies_streaming: awaiting next completed task
2025-08-22 22:38:53,656 | DEBUG   | scraper.async_google_search | [TRACE] run: starting search for walter schmidt chemie gmbh
2025-08-22 22:38:53,657 | DEBUG   | scraper.google_search | Google cache MISS for query: "walter schmidt chemie gmbh" contact email
2025-08-22 22:38:53,657 | DEBUG   | scraper.async_google_search | Async Google API search: "walter schmidt chemie gmbh" contact email
2025-08-22 22:38:53,659 | DEBUG   | scraper.async_google_search | [TRACE] run: starting search for henan xinlianxin fertilizer 
